platform,tour_name,rating,scraped_at
freetour,Le Marais Free Tour: Where Parisians Go,4.65,2026-07-14T04:34:25+00:00
freetour,Montmartre Paris Free Tour: Moulin Rouge to Sacre Coeur,4.75,2026-07-14T04:34:25+00:00
freetour,Paris Icons Express Free Tour: Notre-Dame to Louvre,4.75,2026-07-14T04:34:25+00:00
freetour,"Paris Left Bank: Writers, Revolution & Black Coffee",4.6,2026-07-14T04:34:25+00:00
getyourguide,Paris Icons Express Tour - Notre-Dame to Louvre. Small group,4.78,2026-07-14T04:36:09+00:00
getyourguide,"Paris Left Bank: Writers, Revolution, and Black Coffee",4.86,2026-07-14T04:36:09+00:00
getyourguide,Paris for Art Lovers: Montmartre and Renoir’s Gardens,5,2026-07-14T04:36:09+00:00
getyourguide,Paris: Evening at Montmartre with a Local Guide,4.62,2026-07-14T04:36:09+00:00
getyourguide,Paris: Flea Market Insider's Tour in Extra-Small Group,4.68,2026-07-14T04:36:09+00:00
getyourguide,Paris: Marais without crowds. Guided Tour.,4.73,2026-07-14T04:36:09+00:00
getyourguide,Paris: Montmartre Guided Walking Tour,4.82,2026-07-14T04:36:09+00:00
guruwalk,"""Paris starts here"" - the tour for first timers. Small Group. From Notre-Dame to Louvre",4.78,2026-07-14T04:34:25+00:00
guruwalk,"Le Marais without the crowds, the beating heart of Paris",4.78,2026-07-14T04:34:25+00:00
guruwalk,Paris Old Town - small group - Notre Dame and Latin Quarter,4.89,2026-07-14T04:34:25+00:00
guruwalk,The village of Montmartre without the crowds,4.87,2026-07-14T04:34:25+00:00
